
Predictions were generated on 27-Apr-2026 at 13:06:40 using OpenFAST, compiled on Mar 13 2026 at 19:00:22 as a 64-bit application using single precision at commit v5.0.0
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #18: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	ConvIter	ConvError	NumUJac	Q_B1F1	Q_GeAz	Q_TFA1	Q_TSS1	Q_TFA2	Q_TSS2	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	TTDspTwst	Spn2MLxb1	Spn2MLyb1	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
(s)	(-)	(-)	(-)	(m)	(rad)	(m)	(m)	(m)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)
    0.0563	3.000000	.6367318E-08	.000000	.3548898E-03	4.783665	.000000	.000000	.6536100E-04	.000000	.3553184E-03	-.4775322E-15	.000000	.000000	4.083797	12.10042	1173.741	.6536100E-04	.000000	.000000	1.863074	6.175248	.5941342	-.2537442	16.11809	7.626823	21.86550	-.2308188E-04	7.819445	-1018.396	77.66179	-20.64934	-1.401709	-2890.124	11.28168	1695.584	8.713709	50.03305	-1.401709	-6297.534	134.0719	3324.805	8.712973
    0.0625	3.000000	.7920237E-08	.000000	.2855622E-03	4.791584	.000000	.000000	.8000620E-04	.000000	.2859071E-03	-.6555709E-15	.000000	.000000	4.537568	12.10052	1173.750	.8000620E-04	.000000	.000000	2.060528	4.873367	.5438054	-.2809450	16.12922	8.440341	18.87371	-.2053948E-04	8.653704	-1018.324	86.06239	-16.78707	-1.556753	-2890.865	12.47664	1709.684	9.420849	41.43713	-1.556753	-6298.275	148.8488	3068.121	9.419852
    0.0688	3.000000	.7721336E-08	.000000	.2919580E-03	4.799504	.000000	.000000	.9556009E-04	.000000	.2923106E-03	.4356966E-15	.000000	.000000	4.991338	12.10063	1173.761	.9556009E-04	.000000	.000000	2.255363	4.984628	.5711456	-.3078890	16.14092	9.244845	19.63875	-.2320481E-04	9.478788	-1014.222	94.40602	-12.71059	-1.711895	-2891.637	13.68739	1728.413	10.41034	32.62234	-1.711895	-6299.048	163.6502	2813.606	10.40903
    0.0750	3.000000	.6376446E-08	.000000	.3861334E-03	4.807424	.000000	.000000	.1118232E-03	.000000	.3865998E-03	.4184305E-15	.000000	.000000	5.445108	12.10074	1173.772	.1118232E-03	.000000	.000000	2.448596	6.724647	.6875515	-.3346333	16.15302	10.04306	24.72379	-.3316322E-04	10.29743	-1005.551	102.6943	-8.473785	-1.867305	-2892.429	14.92980	1752.075	11.82895	23.74279	-1.867305	-6299.839	178.5069	2567.010	11.82728
    0.0813	3.000000	.4372097E-08	.000000	.5498041E-03	4.815344	.000000	.000000	.1285922E-03	.000000	.5504681E-03	-.5483420E-15	.000000	.000000	5.898879	12.10087	1173.785	.1285922E-03	.000000	.000000	2.641181	9.745605	.8739103	-.3612285	16.16546	10.83747	33.20420	-.5167816E-04	11.11215	-993.2862	110.9278	-4.126132	-2.023031	-2893.233	16.20712	1779.534	13.68400	14.84522	-2.023031	-6300.645	193.4261	2327.578	13.68192
    0.0875	2.000000	.4003167E-04	.000000	.7407439E-03	4.823264	.000000	.000000	.1456615E-03	.000000	.7416385E-03	.1411309E-15	.000000	.000000	6.352677	12.10101	1173.798	.1456615E-03	.000000	.000000	2.833659	13.25813	1.087197	-.3877013	16.17824	11.62946	42.98941	-.7373126E-04	11.92433	-979.5880	119.1057	.2864252	-2.178956	-2894.050	17.50683	1808.536	15.81949	5.891989	-2.178956	-6301.462	208.3854	2089.458	15.81695
    0.0938	2.000000	.6480167E-04	.000000	.9075737E-03	4.831184	.000000	.000000	.1628232E-03	.000000	.9086698E-03	.1236406E-15	.000000	.000000	6.806474	12.10115	1173.812	.1628232E-03	.000000	.000000	3.025987	16.30791	1.275453	-.4140471	16.19135	12.41886	51.55324	-.9690044E-04	12.73378	-967.0613	127.2264	4.718855	-2.334831	-2894.876	18.80403	1836.406	17.95813	-3.185129	-2.334831	-6302.289	223.3378	1844.927	17.95508
    0.1000	3.000000	.1663442E-08	.000000	.1007684E-02	4.839105	.000000	.000000	.1798677E-03	.000000	.1008901E-02	-.5919761E-15	.000000	.000000	7.260245	12.10131	1173.827	.1798677E-03	.000000	.000000	3.217597	18.10872	1.395816	-.4402324	16.20480	13.20413	56.81321	-.1132325E-03	13.53898	-957.8593	135.2890	9.123775	-2.490357	-2895.710	20.07019	1860.905	19.79832	-12.42007	-2.490357	-6303.126	238.2286	1588.276	19.79473
    0.1063	3.000000	.2189618E-06	.000000	.1021969E-02	4.847025	.000000	.000000	.1965835E-03	.000000	.1023203E-02	.5987235E-15	.000000	.000000	7.714070	12.10148	1173.843	.1965835E-03	.000000	.000000	3.407628	18.31433	1.429248	-.4662167	16.21852	13.98315	57.84869	-.1223949E-03	14.33777	-952.9547	143.2950	13.44917	-2.645298	-2896.544	21.28452	1880.915	21.13186	-21.76030	-2.645298	-6303.963	253.0162	1318.951	21.12769
    0.1125	3.000000	.1970904E-07	.000000	.9612170E-03	4.854945	.000000	.000000	.2127591E-03	.000000	.9623779E-03	-.1359041E-14	.000000	.000000	8.167868	12.10165	1173.860	.2127591E-03	.000000	.000000	3.595340	17.13441	1.386807	-.4919761	16.23236	14.75422	55.20678	-.1214807E-03	15.12847	-951.8268	151.2499	17.63795	-2.799581	-2897.366	22.44320	1896.727	21.93601	-31.04576	-2.799581	-6304.787	267.6905	1042.856	21.93125
